product,scene,category,XMIN,YMIN,XMAX,YMAX
http://i.pinimg.com/400x/61/e7/bb/61e7bb3d4d990c045dda6ad49a59fa67.jpg,http://i.pinimg.com/400x/54/19/c9/5419c93a30731b38e2cb03d28dd95c6c.jpg,topwear,0.23517,0.240206,0.733762,0.846822
http://i.pinimg.com/400x/e4/19/eb/e419ebb679795f1c18c010a72f053290.jpg,http://i.pinimg.com/400x/63/0f/b1/630fb1466d87d367496a4a7b8db07c68.jpg,topwear,0.208051,0.073278,0.80573,0.72464
http://i.pinimg.com/400x/8a/c7/50/8ac750bc310db899684b5c427a5a180f.jpg,http://i.pinimg.com/400x/2b/0c/f1/2b0cf19be1fb55ea02ba2cfbd37b653b.jpg,topwear,0.0,0.652758,0.692965,1.0
http://i.pinimg.com/400x/dd/dc/81/dddc81ac56e6f133ce1a684eacc17637.jpg,http://i.pinimg.com/400x/03/03/c5/0303c52e81856615b5c9b38cad5527f8.jpg,topwear,0.396521,0.343805,0.853253,0.684545
http://i.pinimg.com/400x/13/fe/b5/13feb5e886dfb011eedef14b3cb1301d.jpg,http://i.pinimg.com/400x/1a/8f/65/1a8f659ec50593f7c1502945e3078ed1.jpg,topwear,0.482116,0.212493,0.685834,0.562126
http://i.pinimg.com/400x/ca/f3/b8/caf3b83c487432b22a2f331d88d1a4f2.jpg,http://i.pinimg.com/400x/b4/6b/a3/b46ba3b59e0f2f7835eb712163efd86f.jpg,topwear,0.344079,0.178336,0.707854,0.472775
http://i.pinimg.com/400x/83/28/93/832893d1be3f9e9147abf2c4e6e77aa0.jpg,http://i.pinimg.com/400x/24/17/fc/2417fc51f15a5d053a4cb3f40565645e.jpg,topwear,0.313636,0.314545,0.659091,0.570909
http://i.pinimg.com/400x/91/64/d1/9164d188eda058d8cbad95021ea939b6.jpg,http://i.pinimg.com/400x/10/ad/a3/10ada3f05aefdf9d3b928235ad3b62bd.jpg,topwear,0.67561,0.157354,1.0,0.919865
http://i.pinimg.com/400x/77/8b/7b/778b7b6781125e5d2ddffb1e98239256.jpg,http://i.pinimg.com/400x/b7/9a/c0/b79ac0a5ae9641bb71cbdcf5209e5187.jpg,topwear,0.319155,0.241386,0.599051,0.396898
http://i.pinimg.com/400x/47/b1/61/47b161ed5478658326b0a67dff98d2cd.jpg,http://i.pinimg.com/400x/56/49/b8/5649b8d41268c027737bf0290ce3e273.jpg,topwear,0.671535,0.568804,0.96884,0.84627
http://i.pinimg.com/400x/c6/bc/83/c6bc83eb32dca68aa89da449d9080cf5.jpg,http://i.pinimg.com/400x/5b/f8/16/5bf81688f3c0219a660f0ecf36b0147f.jpg,topwear,0.498182,0.509091,0.669091,0.912727
http://i.pinimg.com/400x/15/96/13/159613e877556bda46525c8caad64359.jpg,http://i.pinimg.com/400x/d9/ee/64/d9ee646ac267f004f57cb59a53d6b2a1.jpg,topwear,0.381818,0.371981,0.627273,0.939614
http://i.pinimg.com/400x/26/93/fc/2693fc0b43143136623c3b517d604e0b.jpg,http://i.pinimg.com/400x/e3/26/2c/e3262c68cff0b2672b71b973de050eb9.jpg,topwear,0.0,0.128702,0.972902,0.954031
http://i.pinimg.com/400x/54/6d/42/546d42c385b06f5cc67ab04ea1687541.jpg,http://i.pinimg.com/400x/16/39/11/163911b7f87800e130b54f81e2f1f1da.jpg,topwear,0.429211,0.405444,0.694836,0.555757
http://i.pinimg.com/400x/df/84/c5/df84c553001f572c91bee9fb51446248.jpg,http://i.pinimg.com/400x/89/63/93/896393ed77da206962ce32f20452988a.jpg,topwear,0.236407,0.86624,0.365567,1.0
http://i.pinimg.com/400x/f0/5e/79/f05e79f9d07d8d44e4e838127af0070f.jpg,http://i.pinimg.com/400x/ad/f8/fa/adf8fa6f81d76a0d73a4aa5e621bb022.jpg,topwear,0.030189,0.083541,0.554697,0.472438
http://i.pinimg.com/400x/a8/df/6b/a8df6bfc568855cdd6124aed2561d4bd.jpg,http://i.pinimg.com/400x/05/b7/f2/05b7f24343f3abc77b9e47a6fab5e409.jpg,topwear,0.103578,0.312553,1.0,0.615007
http://i.pinimg.com/400x/ae/23/23/ae2323b86ebc3b556c89b6d30687ad6e.jpg,http://i.pinimg.com/400x/d3/23/32/d3233256b88a20fa4502ab12942190a6.jpg,topwear,0.354173,0.21424,0.589718,0.507293
http://i.pinimg.com/400x/da/32/0e/da320e1b282785cf88719e91c756d79f.jpg,http://i.pinimg.com/400x/b3/fe/22/b3fe22b935ec60c544e415bf57fc8c44.jpg,topwear,0.254425,0.105647,0.670354,0.659381
http://i.pinimg.com/400x/71/ab/a4/71aba49b5e96ef17bc2908e758d01666.jpg,http://i.pinimg.com/400x/12/0f/3d/120f3dd2ad5fcece6012440206c23e7f.jpg,topwear,0.353511,0.868083,0.500275,1.0
http://i.pinimg.com/400x/37/f5/0d/37f50d86e36ae913bd7c7cfcbe1c0919.jpg,http://i.pinimg.com/400x/d8/04/ba/d804ba9984695e9055cb90005e96013f.jpg,topwear,0.511163,0.513305,0.761136,0.733345
http://i.pinimg.com/400x/7e/4b/90/7e4b9090188cc4121729eda506a85e05.jpg,http://i.pinimg.com/400x/fb/2e/a6/fb2ea6e4b9a8a9804d6b4c3ae9a9cfed.jpg,topwear,0.490443,0.039867,0.807908,0.396986
http://i.pinimg.com/400x/b5/4a/64/b54a64626456d148d18e0fc8703580ed.jpg,http://i.pinimg.com/400x/f7/89/98/f78998efab2d72304f7db04e6bbdcc21.jpg,topwear,0.222593,0.001386,0.721554,0.45602
http://i.pinimg.com/400x/a5/9c/cc/a59ccc8a80a07f20e88ebfbc0f613b16.jpg,http://i.pinimg.com/400x/27/16/9d/27169dc23e61dc90f28e528e560c6d8f.jpg,topwear,0.318907,0.182149,0.640091,0.48816
http://i.pinimg.com/400x/a5/fc/36/a5fc36976611fecb98b0480c120209da.jpg,http://i.pinimg.com/400x/28/97/44/289744ad44c5909e95d86a5f8ac8a149.jpg,topwear,0.355309,0.15715,0.68941,0.540923
http://i.pinimg.com/400x/50/5e/5a/505e5a480bb1b8f948f33bdb420fc489.jpg,http://i.pinimg.com/400x/84/cb/33/84cb3306264f0f6876fd9ccbbd4aeb75.jpg,topwear,0.720639,0.681385,0.977923,0.957961
http://i.pinimg.com/400x/c8/10/c3/c810c3a1ba4b78a2e68c7e9c8db44a19.jpg,http://i.pinimg.com/400x/aa/c9/a6/aac9a6e64f6e5c4f4fc01b1f17fef93b.jpg,topwear,0.835795,0.723923,1.0,0.794769
http://i.pinimg.com/400x/bc/c2/bf/bcc2bf7622f3f4b1b7c51adc5114703f.jpg,http://i.pinimg.com/400x/f5/29/ff/f529ffa9deff253a7edd67ea2583582b.jpg,topwear,0.288622,0.154557,0.797282,0.485059
http://i.pinimg.com/400x/83/48/23/834823c96792c11ee892710dbad24974.jpg,http://i.pinimg.com/400x/39/3c/5e/393c5ec8b9c56a3530a5d4e2776dd21b.jpg,topwear,0.272174,0.217671,0.665505,0.611904
http://i.pinimg.com/400x/5d/85/31/5d8531fc21c860ef1813b7d8c58af890.jpg,http://i.pinimg.com/400x/94/6a/60/946a6085bf8f3eaa48d6e13fc82a9742.jpg,topwear,0.322327,0.116704,0.614188,0.565944
http://i.pinimg.com/400x/b8/c8/41/b8c8415458bfe4dec552a0c0fa61824e.jpg,http://i.pinimg.com/400x/fd/14/0c/fd140c64bab2df58d7fa75509c8c15e3.jpg,topwear,0.416364,0.214477,0.598182,0.549598
http://i.pinimg.com/400x/18/c9/56/18c95688e4349c52eb95e42a5757c62c.jpg,http://i.pinimg.com/400x/64/c5/a4/64c5a4fcf991914bb3d82dd484d201c7.jpg,topwear,0.227978,0.168221,0.627628,0.557732
http://i.pinimg.com/400x/51/b8/5d/51b85d1dcd4ce5ebe3f5768179c8c99e.jpg,http://i.pinimg.com/400x/85/ce/6a/85ce6abb325af6ef6c19077543274730.jpg,topwear,0.366866,0.735448,0.489723,0.878365
http://i.pinimg.com/400x/3f/64/4f/3f644fab5dad8f8bcbdfa955937d4d1c.jpg,http://i.pinimg.com/400x/59/9b/62/599b62ffd84876343bedb596436c8132.jpg,topwear,0.503204,0.174597,0.710085,0.26401
http://i.pinimg.com/400x/66/d3/22/66d3229ce5418a0e434fe6a7293b7313.jpg,http://i.pinimg.com/400x/a7/9a/58/a79a58a0c6bd16e48944ec4ca0b27eb0.jpg,topwear,0.149091,0.303279,0.667273,0.825137
http://i.pinimg.com/400x/5a/ea/d1/5aead1c7028471e1173356f032e150fc.jpg,http://i.pinimg.com/400x/19/73/62/197362f515964328d73b8faa14e2002a.jpg,topwear,0.002902,0.0,1.0,1.0
http://i.pinimg.com/400x/3b/a6/66/3ba6664794d634cf439614f329de1844.jpg,http://i.pinimg.com/400x/07/03/a3/0703a31171ed60ef6357c508780aacd1.jpg,topwear,0.281569,0.122734,0.71949,0.678299
http://i.pinimg.com/400x/50/77/27/5077279cb2f9a7b4c7910c59f9e38b80.jpg,http://i.pinimg.com/400x/6b/fd/52/6bfd5299e4251f584bf555a4910ec69e.jpg,topwear,0.287016,0.198543,0.646925,0.502732
http://i.pinimg.com/400x/bf/4f/28/bf4f288c3b3a505aedc21a0e776de075.jpg,http://i.pinimg.com/400x/f4/12/fc/f412fc0b9dca60b1e17207af01d50c90.jpg,topwear,0.160457,0.54057,0.582464,1.0
http://i.pinimg.com/400x/92/12/58/921258d31510f4fe25f27aa49ac7f667.jpg,http://i.pinimg.com/400x/94/95/7f/94957f95f1558ba0b1597e64689e01bd.jpg,topwear,0.13072,0.353939,0.773084,1.0
http://i.pinimg.com/400x/c5/7c/07/c57c071a9fa6ed38b7f3d7219bd381e8.jpg,http://i.pinimg.com/400x/ed/95/20/ed9520a22f73641794d125b13198c4f7.jpg,topwear,0.491862,0.846128,0.619958,0.975186
